0,1,2
18,17,2.0408163265306123
17,14,2.0408163265306123
14,14,2.0408163265306123
14,14,2.0408163265306123
14,12,2.0408163265306123
12,11,2.0408163265306123
11,10,2.0408163265306123
10,10,2.0408163265306123
10,10,2.0408163265306123
10,9,2.0408163265306123
9,7,2.0408163265306123
7,8,2.0408163265306123
8,9,2.0408163265306123
9,5,2.0408163265306123
5,4,2.0408163265306123
4,3,2.0408163265306123
3,3,2.0408163265306123
3,5,2.0408163265306123
5,5,2.0408163265306123
5,7,2.0408163265306123
7,10,2.0408163265306123
10,9,2.0408163265306123
9,9,2.0408163265306123
9,8,2.0408163265306123
8,8,2.0408163265306123
8,7,2.0408163265306123
7,8,2.0408163265306123
8,8,2.0408163265306123
8,8,2.0408163265306123
8,8,2.0408163265306123
8,7,2.0408163265306123
7,8,2.0408163265306123
8,7,2.0408163265306123
7,7,2.0408163265306123
7,5,2.0408163265306123
5,7,2.0408163265306123
7,6,2.0408163265306123
6,5,2.0408163265306123
5,5,2.0408163265306123
5,5,2.0408163265306123
5,5,2.0408163265306123
5,4,2.0408163265306123
4,5,2.0408163265306123
5,8,2.0408163265306123
8,9,2.0408163265306123
9,9,2.0408163265306123
9,9,2.0408163265306123
9,8,2.0408163265306123
8,10,2.0408163265306123
10,9,2.0408163265306123
